index,name
1,Africa/Abidjan
2,Africa/Accra
3,Africa/Addis_Ababa
4,Africa/Algiers
5,Africa/Asmara
6,Africa/Bamako
7,Africa/Bangui
8,Africa/Banjul
9,Africa/Bissau
10,Africa/Blantyre
11,Africa/Brazzaville
12,Africa/Bujumbura
13,Africa/Cairo
14,Africa/Casablanca
15,Africa/Ceuta
16,Africa/Conakry
17,Africa/Dakar
18,Africa/Dar_es_Salaam
19,Africa/Djibouti
20,Africa/Douala
21,Africa/El_Aaiun
22,Africa/Freetown
23,Africa/Gaborone
24,Africa/Harare
25,Africa/Johannesburg
26,Africa/Juba
27,Africa/Kampala
28,Africa/Khartoum
29,Africa/Kigali
30,Africa/Kinshasa
31,Africa/Lagos
32,Africa/Libreville
33,Africa/Lome
34,Africa/Luanda
35,Africa/Lubumbashi
36,Africa/Lusaka
37,Africa/Malabo
38,Africa/Maputo
39,Africa/Maseru
40,Africa/Mbabane
41,Africa/Mogadishu
42,Africa/Monrovia
43,Africa/Nairobi
44,Africa/Ndjamena
45,Africa/Niamey
46,Africa/Nouakchott
47,Africa/Ouagadougou
48,Africa/Porto-Novo
49,Africa/Sao_Tome
50,Africa/Tripoli
51,Africa/Tunis
52,Africa/Windhoek
53,America/Adak
54,America/Anchorage
55,America/Anguilla
56,America/Antigua
57,America/Araguaina
58,America/Argentina/Buenos_Aires
59,America/Argentina/Catamarca
60,America/Argentina/Cordoba
61,America/Argentina/Jujuy
62,America/Argentina/La_Rioja
63,America/Argentina/Mendoza
64,America/Argentina/Rio_Gallegos
65,America/Argentina/Salta
66,America/Argentina/San_Juan
67,America/Argentina/San_Luis
68,America/Argentina/Tucuman
69,America/Argentina/Ushuaia
70,America/Aruba
71,America/Asuncion
72,America/Atikokan
73,America/Bahia
74,America/Bahia_Banderas
75,America/Barbados
76,America/Belem
77,America/Belize
78,America/Blanc-Sablon
79,America/Boa_Vista
80,America/Bogota
81,America/Boise
82,America/Cambridge_Bay
83,America/Campo_Grande
84,America/Cancun
85,America/Caracas
86,America/Cayenne
87,America/Cayman
88,America/Chicago
89,America/Chihuahua
90,America/Costa_Rica
91,America/Creston
92,America/Cuiaba
93,America/Curacao
94,America/Danmarkshavn
95,America/Dawson
96,America/Dawson_Creek
97,America/Denver
98,America/Detroit
99,America/Dominica
100,America/Edmonton
101,America/Eirunepe
102,America/El_Salvador
103,America/Fortaleza
104,America/Fort_Nelson
105,America/Glace_Bay
106,America/Godthab
107,America/Goose_Bay
108,America/Grand_Turk
109,America/Grenada
110,America/Guadeloupe
111,America/Guatemala
112,America/Guayaquil
113,America/Guyana
114,America/Halifax
115,America/Havana
116,America/Hermosillo
117,America/Indiana/Indianapolis
118,America/Indiana/Knox
119,America/Indiana/Marengo
120,America/Indiana/Petersburg
121,America/Indiana/Tell_City
122,America/Indiana/Vevay
123,America/Indiana/Vincennes
124,America/Indiana/Winamac
125,America/Inuvik
126,America/Iqaluit
127,America/Jamaica
128,America/Juneau
129,America/Kentucky/Louisville
130,America/Kentucky/Monticello
131,America/Kralendijk
132,America/La_Paz
133,America/Lima
134,America/Los_Angeles
135,America/Lower_Princes
136,America/Maceio
137,America/Managua
138,America/Manaus
139,America/Marigot
140,America/Martinique
141,America/Matamoros
142,America/Mazatlan
143,America/Menominee
144,America/Merida
145,America/Metlakatla
146,America/Mexico_City
147,America/Miquelon
148,America/Moncton
149,America/Monterrey
150,America/Montevideo
151,America/Montreal
152,America/Montserrat
153,America/Nassau
154,America/New_York
155,America/Nipigon
156,America/Nome
157,America/Noronha
158,America/North_Dakota/Beulah
159,America/North_Dakota/Center
160,America/North_Dakota/New_Salem
161,America/Nuuk
162,America/Ojinaga
163,America/Panama
164,America/Pangnirtung
165,America/Paramaribo
166,America/Phoenix
167,America/Port-au-Prince
168,America/Port_of_Spain
169,America/Porto_Velho
170,America/Puerto_Rico
171,America/Punta_Arenas
172,America/Rainy_River
173,America/Rankin_Inlet
174,America/Recife
175,America/Regina
176,America/Resolute
177,America/Rio_Branco
178,America/Santarem
179,America/Santiago
180,America/Santo_Domingo
181,America/Sao_Paulo
182,America/Scoresbysund
183,America/Sitka
184,America/St_Barthelemy
185,America/St_Johns
186,America/St_Kitts
187,America/St_Lucia
188,America/St_Thomas
189,America/St_Vincent
190,America/Swift_Current
191,America/Tegucigalpa
192,America/Thule
193,America/Thunder_Bay
194,America/Tijuana
195,America/Toronto
196,America/Tortola
197,America/Vancouver
198,America/Whitehorse
199,America/Winnipeg
200,America/Yakutat
201,America/Yellowknife
202,Antarctica/Casey
203,Antarctica/Davis
204,Antarctica/DumontDUrville
205,Antarctica/Macquarie
206,Antarctica/Mawson
207,Antarctica/McMurdo
208,Antarctica/Palmer
209,Antarctica/Rothera
210,Antarctica/Syowa
211,Antarctica/Troll
212,Antarctica/Vostok
213,Arctic/Longyearbyen
214,Asia/Aden
215,Asia/Almaty
216,Asia/Amman
217,Asia/Anadyr
218,Asia/Aqtau
219,Asia/Aqtobe
220,Asia/Ashgabat
221,Asia/Atyrau
222,Asia/Baghdad
223,Asia/Bahrain
224,Asia/Baku
225,Asia/Bangkok
226,Asia/Barnaul
227,Asia/Beirut
228,Asia/Bishkek
229,Asia/Brunei
230,Asia/Chita
231,Asia/Choibalsan
232,Asia/Colombo
233,Asia/Damascus
234,Asia/Dhaka
235,Asia/Dili
236,Asia/Dubai
237,Asia/Dushanbe
238,Asia/Famagusta
239,Asia/Gaza
240,Asia/Hebron
241,Asia/Ho_Chi_Minh
242,Asia/Hong_Kong
243,Asia/Hovd
244,Asia/Irkutsk
245,Asia/Jakarta
246,Asia/Jayapura
247,Asia/Jerusalem
248,Asia/Kabul
249,Asia/Kamchatka
250,Asia/Karachi
251,Asia/Kathmandu
252,Asia/Khandyga
253,Asia/Kolkata
254,Asia/Krasnoyarsk
255,Asia/Kuala_Lumpur
256,Asia/Kuching
257,Asia/Kuwait
258,Asia/Macau
259,Asia/Magadan
260,Asia/Makassar
261,Asia/Manila
262,Asia/Muscat
263,Asia/Nicosia
264,Asia/Novokuznetsk
265,Asia/Novosibirsk
266,Asia/Omsk
267,Asia/Oral
268,Asia/Phnom_Penh
269,Asia/Pontianak
270,Asia/Pyongyang
271,Asia/Qatar
272,Asia/Qyzylorda
273,Asia/Riyadh
274,Asia/Sakhalin
275,Asia/Samarkand
276,Asia/Seoul
277,Asia/Shanghai
278,Asia/Singapore
279,Asia/Srednekolymsk
280,Asia/Taipei
281,Asia/Tashkent
282,Asia/Tbilisi
283,Asia/Tehran
284,Asia/Thimphu
285,Asia/Tokyo
286,Asia/Tomsk
287,Asia/Ulaanbaatar
288,Asia/Urumqi
289,Asia/Ust-Nera
290,Asia/Vientiane
291,Asia/Vladivostok
292,Asia/Yakutsk
293,Asia/Yangon
294,Asia/Yekaterinburg
295,Asia/Yerevan
296,Atlantic/Azores
297,Atlantic/Bermuda
298,Atlantic/Canary
299,Atlantic/Cape_Verde
300,Atlantic/Faroe
301,Atlantic/Madeira
302,Atlantic/Reykjavik
303,Atlantic/South_Georgia
304,Atlantic/Stanley
305,Atlantic/St_Helena
306,Australia/Adelaide
307,Australia/Brisbane
308,Australia/Broken_Hill
309,Australia/Currie
310,Australia/Darwin
311,Australia/Eucla
312,Australia/Hobart
313,Australia/Lindeman
314,Australia/Lord_Howe
315,Australia/Melbourne
316,Australia/Perth
317,Australia/Sydney
318,Europe/Amsterdam
319,Europe/Andorra
320,Europe/Astrakhan
321,Europe/Athens
322,Europe/Belgrade
323,Europe/Berlin
324,Europe/Bratislava
325,Europe/Brussels
326,Europe/Bucharest
327,Europe/Budapest
328,Europe/Busingen
329,Europe/Chisinau
330,Europe/Copenhagen
331,Europe/Dublin
332,Europe/Gibraltar
333,Europe/Guernsey
334,Europe/Helsinki
335,Europe/Isle_of_Man
336,Europe/Istanbul
337,Europe/Jersey
338,Europe/Kaliningrad
339,Europe/Kiev
340,Europe/Kirov
341,Europe/Lisbon
342,Europe/Ljubljana
343,Europe/London
344,Europe/Luxembourg
345,Europe/Madrid
346,Europe/Malta
347,Europe/Mariehamn
348,Europe/Minsk
349,Europe/Monaco
350,Europe/Moscow
351,Europe/Oslo
352,Europe/Paris
353,Europe/Podgorica
354,Europe/Prague
355,Europe/Riga
356,Europe/Rome
357,Europe/Samara
358,Europe/San_Marino
359,Europe/Sarajevo
360,Europe/Saratov
361,Europe/Simferopol
362,Europe/Skopje
363,Europe/Sofia
364,Europe/Stockholm
365,Europe/Tallinn
366,Europe/Tirane
367,Europe/Ulyanovsk
368,Europe/Uzhgorod
369,Europe/Vaduz
370,Europe/Vatican
371,Europe/Vienna
372,Europe/Vilnius
373,Europe/Volgograd
374,Europe/Warsaw
375,Europe/Zagreb
376,Europe/Zaporozhye
377,Europe/Zurich
378,Indian/Antananarivo
379,Indian/Chagos
380,Indian/Christmas
381,Indian/Cocos
382,Indian/Comoro
383,Indian/Kerguelen
384,Indian/Mahe
385,Indian/Maldives
386,Indian/Mauritius
387,Indian/Mayotte
388,Indian/Reunion
389,Pacific/Apia
390,Pacific/Auckland
391,Pacific/Bougainville
392,Pacific/Chatham
393,Pacific/Chuuk
394,Pacific/Easter
395,Pacific/Efate
396,Pacific/Enderbury
397,Pacific/Fakaofo
398,Pacific/Fiji
399,Pacific/Funafuti
400,Pacific/Galapagos
401,Pacific/Gambier
402,Pacific/Guadalcanal
403,Pacific/Guam
404,Pacific/Honolulu
405,Pacific/Kiritimati
406,Pacific/Kosrae
407,Pacific/Kwajalein
408,Pacific/Majuro
409,Pacific/Marquesas
410,Pacific/Midway
411,Pacific/Nauru
412,Pacific/Niue
413,Pacific/Norfolk
414,Pacific/Noumea
415,Pacific/Pago_Pago
416,Pacific/Palau
417,Pacific/Pitcairn
418,Pacific/Pohnpei
419,Pacific/Port_Moresby
420,Pacific/Rarotonga
421,Pacific/Saipan
422,Pacific/Tahiti
423,Pacific/Tarawa
424,Pacific/Tongatapu
425,Pacific/Wake
426,Pacific/Wallis
427,Etc/GMT
428,Etc/GMT-0
429,Etc/GMT-1
430,Etc/GMT-2
431,Etc/GMT-3
432,Etc/GMT-4
433,Etc/GMT-5
434,Etc/GMT-6
435,Etc/GMT-7
436,Etc/GMT-8
437,Etc/GMT-9
438,Etc/GMT-10
439,Etc/GMT-11
440,Etc/GMT-12
441,Etc/GMT-13
442,Etc/GMT-14
443,Etc/GMT0
444,Etc/GMT+0
445,Etc/GMT+1
446,Etc/GMT+2
447,Etc/GMT+3
448,Etc/GMT+4
449,Etc/GMT+5
450,Etc/GMT+6
451,Etc/GMT+7
452,Etc/GMT+8
453,Etc/GMT+9
454,Etc/GMT+10
455,Etc/GMT+11
456,Etc/GMT+12
457,Etc/UCT
458,Etc/UTC
459,Etc/Greenwich
460,Etc/Universal
461,Etc/Zulu
